City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
32,Bilibino,RU,68.0546,166.4372,-9.4,-9.4,90,100,1.57,overcast clouds
33,Inndyr,NO,67.0338,14.0276,12.65,12.02,71,100,3.3,overcast clouds
34,Atar,MR,20.5169,-13.0499,35.3,35.3,9,60,2.36,broken clouds
35,Severo-Kuril'sk,RU,50.6789,156.125,12.67,12.67,65,98,4.11,overcast clouds
36,São João da Barra,BR,-21.6403,-41.0511,22.41,22.41,85,1,8.41,clear sky
37,Zemio,CF,5.0314,25.1361,20.93,20.93,98,100,0.77,overcast clouds
38,Tortolì,IT,39.9256,9.6572,19.43,19.43,73,33,1.75,scattered clouds
39,Sibolga,ID,1.7427,98.7792,25.02,25.02,89,96,1.35,overcast clouds
40,Bristol,US,41.8334,-71.1662,18.83,16.89,89,90,0.45,overcast clouds
41,Lebu,CL,-37.6167,-73.65,10.0,10.0,80,69,3.57,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,-2.34,-2.34,69,100,0.99,overcast clouds
43,Bambous Virieux,MU,-20.3428,57.7575,22.34,22.34,68,87,8.03,overcast clouds
44,Poso,ID,-1.3959,120.7524,26.14,26.14,78,61,1.56,broken clouds
45,Tura,IN,25.5198,90.2201,22.45,22.45,90,100,1.57,overcast clouds
46,Kapaa,US,22.0752,-159.319,26.77,25.06,70,15,1.34,light rain
47,Marsh Harbour,BS,26.5412,-77.0636,26.75,26.75,57,30,4.7,scattered clouds
48,Urucará,BR,-2.5364,-57.76,26.82,26.82,69,43,1.16,scattered clouds
49,Ilebo,CD,-4.3167,20.5833,21.64,21.64,95,88,0.84,moderate rain
50,Carnarvon,AU,-24.8667,113.6333,18.87,18.87,72,17,3.59,few clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,31.77,27.51,67,11,4.02,few clouds
52,Soligalich,RU,59.0778,42.2864,2.71,2.71,95,65,1.51,broken clouds
53,Naze,JP,28.3667,129.4833,26.17,26.17,79,14,8.76,few clouds
54,Mehamn,NO,71.0357,27.8492,12.97,12.97,54,0,8.75,clear sky
55,Mar del Plata,AR,-38.0023,-57.5575,12.29,10.56,70,0,6.26,clear sky
56,Abhā,SA,18.2164,42.5053,19.7,19.7,40,77,1.85,broken clouds
57,Kemijärvi,FI,66.7131,27.4306,4.4,4.4,95,41,2.1,scattered clouds
58,Katsuura,JP,35.1333,140.3,22.33,20.64,79,21,3.91,few clouds
59,Tasiilaq,GL,65.6145,-37.6368,1.09,1.09,54,95,2.6,overcast clouds
60,Venice,US,27.0998,-82.4543,30.55,26.67,53,1,1.34,clear sky
61,Ouadda,CF,8.0777,22.4007,20.19,20.19,98,99,1.28,overcast clouds
