City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Ribeira Grande,PT,2021-09-27 00:59:07,38.5167,-28.7,68.2,73,78,23.11
51,Saint George,US,2021-09-27 00:59:08,37.1041,-113.5841,90.07,23,78,1.01
52,Dekar,BW,2021-09-27 00:59:08,-21.5333,21.9333,69.49,21,3,7.74
53,Pisco,PE,2021-09-27 00:58:17,-13.7,-76.2167,60.85,82,0,13.8
54,Chapais,CA,2021-09-27 00:59:09,49.7834,-74.8492,49.78,91,82,4.7
55,Srednekolymsk,RU,2021-09-27 00:59:10,67.45,153.6833,32.97,81,100,14.7
56,Kiunga,PG,2021-09-27 00:59:10,-6.1219,141.2906,81.27,81,93,1.32
57,Sitka,US,2021-09-27 00:59:11,57.0531,-135.33,51.12,71,100,6.4
58,Fuente De Oro,CO,2021-09-27 00:59:11,3.4594,-73.6128,74.16,85,17,3.51
59,Mishan,CN,2021-09-27 00:59:12,45.55,131.8833,64.36,83,100,10.47
60,Jamestown,US,2021-09-27 00:56:54,42.097,-79.2353,61.34,79,77,1.01
61,Beyneu,KZ,2021-09-27 00:59:12,45.3167,55.2,58.69,63,100,18.99
62,Monywa,MM,2021-09-27 00:59:13,22.1167,95.1333,79.5,84,99,5.66
63,Zheleznodorozhnyy,RU,2021-09-27 00:59:13,55.7503,38.0042,50.22,87,100,8.61
64,Severo-Kurilsk,RU,2021-09-27 00:59:13,50.6789,156.125,52.45,82,66,12.33
65,Bluff,NZ,2021-09-27 00:56:03,-46.6,168.3333,51.8,53,7,5.35
66,Yumen,CN,2021-09-27 00:59:14,40.2833,97.2,62.96,20,0,13.73
67,Pevek,RU,2021-09-27 00:58:36,69.7008,170.3133,31.51,89,100,24.25
68,Phalaborwa,ZA,2021-09-27 00:59:15,-23.943,31.1411,67.28,46,0,3.56
69,Bilma,NE,2021-09-27 00:59:15,18.6853,12.9164,82.54,17,0,9.01
70,East London,ZA,2021-09-27 00:59:15,-33.0153,27.9116,66.0,82,79,17.56
71,Port Alfred,ZA,2021-09-27 00:56:40,-33.5906,26.891,64.33,91,25,19.57
72,Bilibino,RU,2021-09-27 00:59:16,68.0546,166.4372,30.51,97,100,16.87
73,Shumikha,RU,2021-09-27 00:59:17,55.2261,63.2961,38.03,57,100,20.6
74,Puri,IN,2021-09-27 00:59:17,19.8,85.85,79.32,85,100,13.31
75,Kavaratti,IN,2021-09-27 00:59:18,10.5669,72.642,81.25,79,100,24.38
76,Dingle,PH,2021-09-27 00:59:18,10.9995,122.6711,83.32,81,95,6.98
77,Haines Junction,CA,2021-09-27 00:59:19,60.7522,-137.5108,37.35,81,100,5.75
78,Dwarka,IN,2021-09-27 00:59:19,22.2394,68.9678,81.09,85,99,7.09
79,Chuy,UY,2021-09-27 00:59:19,-33.6971,-53.4616,57.4,94,11,5.59
80,Irbeyskoye,RU,2021-09-27 00:59:20,55.6428,95.4522,33.46,77,80,4.09
81,Kapaa,US,2021-09-27 00:58:19,22.0752,-159.319,81.19,72,19,4.0
82,Mount Isa,AU,2021-09-27 00:59:20,-20.7333,139.5,89.37,11,5,9.22
