City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
306,Harper,LR,25.39,overcast clouds,4.375,-7.7169,Screensaver
307,Richards Bay,ZA,20.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
308,Beringovskiy,RU,-1.16,light snow,63.05,179.3167,Beringgorski
309,Chapais,CA,4.88,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
310,Bereda,ES,14.4,scattered clouds,43.2686,-7.5406,Pazo de Verdes
312,Pevek,RU,-5.03,overcast clouds,69.7008,170.3133,Hotel ABC
313,Te Anau,NZ,9.7,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
314,El Campo,US,31.6,broken clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
315,Grindavik,IS,3.26,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
316,Pinheiro Machado,BR,13.76,overcast clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
318,Nushki,PK,24.64,clear sky,29.5542,66.0215,Shams hotel
319,Saint-Pierre,RE,21.8,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
320,Ayan,RU,10.03,overcast clouds,56.45,138.1667,Gostinitsa
321,Nishihara,JP,28.03,scattered clouds,26.1842,127.7558,Minshuku Agaihama
322,Santo Estêvão,BR,21.55,few clouds,-12.4303,-39.2514,Campo Hotel
323,Nyurba,RU,-3.01,clear sky,63.2842,118.3319,Gostinitsa Alrosa
324,Bathsheba,BB,27.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
325,Hualmay,PE,17.61,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
326,Mount Gambier,AU,12.81,overcast clouds,-37.8333,140.7667,The Commodore
327,Broken Hill,AU,19.53,clear sky,-31.95,141.4333,Royal Exchange Hotel
328,Paamiut,GL,1.73,scattered clouds,61.994,-49.6678,Hotel Ivaana
329,Codrington,AU,12.94,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
330,Mabaruma,GY,24.83,broken clouds,8.2,-59.7833,Monty Brooms Guest House
331,Pangai,TO,27.06,few clouds,-19.8,-174.35,Ha'apai Beach Resort
332,Miyako,JP,19.06,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
333,Chinhoyi,ZW,21.1,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
